"region","mean","std"
"Left-cerebral-white-matter",15.5410997101201,0.570633002967387
"Left-cerebellum-white-matter",0.955923327829984,0.0925659279634618
"Left-cerebellum-cortex",4.01839862307533,0.321078321173468
"Left-thalamus",0.482307154616137,0.0486599848529296
"Left-caudate",0.259074305369412,0.0319678676000622
"Left-putamen",0.377936768667892,0.0365898592132758
"Left-pallidum",0.102338600121113,0.0139171358475108
"Brain-stem",1.60595618357714,0.120842240648316
"Left-hippocampus",0.275440922257225,0.0249296420088148
"Left-amygdala",0.121255859417447,0.0108288877100542
"CSF",16.5909928917968,2.89348325579178
"Left-accumbens-area",0.0477333480739104,0.00686542046969079
"Left-ventral-DC",0.288527136800863,0.0220583836225049
"Right-cerebral-white-matter",15.2877444815334,0.551251530546621
"Right-cerebellum-white-matter",0.908248022207527,0.089319415464264
"Right-cerebellum-cortex",3.89348816600719,0.312502680576529
"Right-thalamus",0.50151493987962,0.0497913949277235
"Right-caudate",0.274365876742805,0.0312907913275614
"Right-putamen",0.366092654077024,0.0383189678820172
"Right-pallidum",0.115671202693047,0.0121802420071272
"Right-hippocampus",0.267190170683306,0.0236460227971725
"Right-amygdala",0.130604018718746,0.0113939396883885
"Right-accumbens-area",0.0498691668838768,0.00854040631515346
"Right-ventral-DC",0.287317862317391,0.019890113519625
"ctx-lh-bankssts",0.187362369276999,0.0374696629726089
"ctx-lh-caudalanteriorcingulate",0.156407556028399,0.0246674407318242
"ctx-lh-caudalmiddlefrontal",0.469122430340478,0.070902558323923
"ctx-lh-cuneus",0.291236375648117,0.0437120508610992
"ctx-lh-entorhinal",0.178528018848767,0.0209753047022997
"ctx-lh-fusiform",0.907833425064583,0.0681239747065287
"ctx-lh-inferiorparietal",0.989947580531384,0.158331541608078
"ctx-lh-inferiortemporal",0.827672355121144,0.0878997181753829
"ctx-lh-isthmuscingulate",0.207556409472102,0.0224180672531259
"ctx-lh-lateraloccipital",1.02533537187021,0.108812479736982
"ctx-lh-lateralorbitofrontal",0.622597575170735,0.0450270527307332
"ctx-lh-lingual",0.555863502320643,0.0655947820542873
"ctx-lh-medialorbitofrontal",0.437724582939604,0.0394111407654697
"ctx-lh-middletemporal",0.925127882333845,0.10050255611588
"ctx-lh-parahippocampal",0.155398080537912,0.0138712836438881
"ctx-lh-paracentral",0.307409167600884,0.036592255613034
"ctx-lh-parsopercularis",0.362414412306451,0.0478151393982577
"ctx-lh-parsorbitalis",0.199308033655997,0.0264329479715984
"ctx-lh-parstriangularis",0.334144844975923,0.0596201181873904
"ctx-lh-pericalcarine",0.106283788021339,0.0377241918578542
"ctx-lh-postcentral",0.789838907353556,0.0746509403310946
"ctx-lh-posteriorcingulate",0.262451222253965,0.0289940441275003
"ctx-lh-precentral",0.951217172266253,0.0744435041477803
"ctx-lh-precuneus",0.727444994621562,0.0733469644816246
"ctx-lh-rostralanteriorcingulate",0.18983492086122,0.0282132575154838
"ctx-lh-rostralmiddlefrontal",1.21958813505393,0.154365052370933
"ctx-lh-superiorfrontal",1.63962733745185,0.145302511845084
