"region","mean","std"
"Right-POrG--posterior-orbital-gyrus",3526.36171113935,619.778099262192
"Left-POrG--posterior-orbital-gyrus",3515.4481806842,653.884967022089
"Right-PP----planum-polare",2361.56661379857,406.118264577738
"Left-PP----planum-polare",2412.76632247816,402.797709591205
"Right-PrG---precentral-gyrus",15644.6053106266,2565.66861844038
"Left-PrG---precentral-gyrus",15420.8118343824,2516.86779539925
"Right-PT----planum-temporale",2277.48354537969,468.781943749546
"Left-PT----planum-temporale",2570.46428287011,574.387869221027
"Right-SCA---subcallosal-area",1606.95787956438,411.259786645281
"Left-SCA---subcallosal-area",1691.00311559662,442.661805174107
"Right-SFG---superior-frontal-gyrus",16552.1088608941,3034.78032823914
"Left-SFG---superior-frontal-gyrus",17507.7992356891,3237.38009806012
"Right-SMC---supplementary-motor-cortex",5736.93337225038,986.921048576952
"Left-SMC---supplementary-motor-cortex",5952.75467048255,1060.82476644112
"Right-SMG---supramarginal-gyrus",10681.3553299492,2115.88777662377
"Left-SMG---supramarginal-gyrus",11247.9573774834,2059.43979867415
"Right-SOG---superior-occipital-gyrus",5203.0156507852,885.870396510277
"Left-SOG---superior-occipital-gyrus",5168.28852406588,926.352685366102
"Right-SPL---superior-parietal-lobule",12784.3467084473,2060.40354672843
"Left-SPL---superior-parietal-lobule",12717.4491831105,2120.26996299553
"Right-STG---superior-temporal-gyrus",8228.64591769221,1462.11862375728
"Left-STG---superior-temporal-gyrus",8377.1309968476,1499.54938204445
"Right-TMP---temporal-pole",9311.80320954907,1588.68920343262
"Left-TMP---temporal-pole",8779.34178356448,1619.0351105685
"Right-TrIFG-triangular-part-of-the-IFG",3789.74899859405,886.686582288069
"Left-TrIFG-triangular-part-of-the-IFG",3856.62725509472,942.255992723418
"Right-TTG---transverse-temporal-gyrus",1606.90667125718,364.102947797571
"Left-TTG---transverse-temporal-gyrus",2093.66939811266,501.126997657464
